,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
3495,BIOL,205-1,Comparative Vertebrate Anat WLab,MW,10:00:00,11:15:00,Laura Catano
3496,BIOL,205-2,Comparative Vertebrate Anat WLab,M,11:30:00,14:30:00,Laura Catano
3497,BIOL,205-3,Comparative Vertebrate Anat WLab,W,11:30:00,14:30:00,Laura Catano
3498,BIOL,223-1,Developmental Biology,MW,16:00:00,17:15:00,Andreas Fritz
3499,BIOL,240-1,Organismal Form and Function,TuTh,14:30:00,15:45:00,Kate OToole
3500,BIOL,241-1,Evolutionary Biology,TuTh,10:00:00,11:15:00,Levi Morran
3501,BIOL,241-2,Evolutionary Biology,M,9:00:00,9:50:00,Levi Morran
3502,BIOL,241-3,Evolutionary Biology,M,10:00:00,10:50:00,Levi Morran
3503,BIOL,241-4,Evolutionary Biology,M,11:00:00,11:50:00,Levi Morran
3504,BIOL,241-5,Evolutionary Biology,M,12:00:00,12:50:00,Levi Morran
3505,BIOL,247-1,Ecology,MW,11:30:00,12:45:00,Miguel Reyes
3506,BIOL,247LW-1,Ecology Laboratory,TuTh,14:30:00,17:30:00,Christopher Beck
3507,BIOL,250-1,Cell Biology,TuTh,17:30:00,18:45:00,Arri Eisen
3508,BIOL,264-1,Genetics A Human Perspective,MW,11:30:00,12:45:00,David Gorkin
3509,BIOL,264-2,Genetics A Human Perspective,W,15:00:00,15:50:00,Skye Comstra
3510,BIOL,264-3,Genetics A Human Perspective,W,17:00:00,17:50:00,David Gorkin
3511,BIOL,264-4,Genetics A Human Perspective,Th,17:00:00,17:50:00,David Gorkin
3512,BIOL,301-1,Biochemistry I,TuTh,13:00:00,14:15:00,Alexander Escobar
3513,BIOL,301-2,Biochemistry I,TuTh,14:30:00,15:45:00,William Kelly
3514,BIOL,320-1,Animal Behavior,TuTh,14:30:00,15:45:00,Harold Gouzoules
3515,BIOL,325-1,Primate Social Psychology,TuTh,10:00:00,11:15:00,Ben Wilson
3516,BIOL,336-1,Human Physiology,TuTh,16:00:00,17:15:00,Kate OToole
3517,BIOL,336-2,Human Physiology,MW,13:00:00,14:15:00,Iain Shepherd
3518,BIOL,344-1,Food Health and Society,MW,8:30:00,9:45:00,Cassandra Quave
3519,BIOL,345-1,Conservation Biology,TuTh,10:00:00,11:15:00,John Wegner
3520,BIOL,360-1,Introduction To Neurobiology,TuTh,11:30:00,12:45:00,Dieter Jaeger
3521,BIOL,360L-1,Neurobiology Data Lab,TuTh,13:00:00,14:15:00,Astrid Prinz
3522,BIOL,360-2,Introduction To Neurobiology,MW,10:00:00,11:15:00,Anita Devineni
3523,BIOL,370-1,Introduction to Microbiology,TuTh,13:00:00,14:15:00,Kathleen Campbell
