,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor,Class location
1306,PHIL,202W-1,Renaissance  Modern Philosophy,TuTh,8:30am,9:45am,Aminah HasanBirdwell,Callaway Center N118
1307,PHIL,204W-1,19th  20th Century Philosophy,TuTh,1:00pm,2:15pm,Andrew Mitchell,Emerson Chemistry Bldg. E102
1308,PHIL,204W-2,19th  20th Century Philosophy,MW,1:00pm,2:15pm,Not Listed,Anthropology Building 107
1309,PHIL,220W-2,History of Political Philosophy,MW,11:30am,12:45pm,Dilek Huseyinzadegan,Rich Building 103
1310,PHIL,300-1,Metaphysics and Epistemology,MW,8:30am,9:45am,Not Listed,Bowden Hall 118
1311,PHIL,321-1,Philosophy of Law,TuTh,4:00pm,5:15pm,Not Listed,MODERN LANGUAGE_330
1346,BUS,350-1401,Data and Decision Analytics,TuTh,1:00pm,2:15pm,Anna Errore,Goizueta Business School 304
1347,BUS,350-1402,Data and Decision Analytics,TuTh,2:30pm,3:45pm,Anna Errore,Goizueta Business School 304
1348,BUS,350-1403,Data and Decision Analytics,TuTh,4:00pm,5:15pm,Anna Errore,Goizueta Business School 304
1349,BUS,350-1404,Data and Decision Analytics,TuTh,10:00am,11:15am,Not Listed,Goizueta Business School 130
1350,BUS,350-1405,Data and Decision Analytics,MW,8:30am,9:45am,Not Listed,Goizueta Business School 301
1351,BUS,350-1406,Data and Decision Analytics,MW,8:30am,9:45am,Not Listed,Goizueta Foundation Ctr W330
1352,BUS,350-1407,Data and Decision Analytics,MW,4:00pm,5:15pm,Not Listed,Goizueta Business School 334
1353,BUS,365-1101,Business Communication Strategy,MW,10:00am,11:15am,Not Listed,Goizueta Business School 338
1354,BUS,365-1102,Business Communication Strategy,MW,11:30am,12:45pm,Not Listed,Goizueta Business School 421
1355,BUS,365-1103,Business Communication Strategy,MW,8:30am,9:45am,Molly Epstein,Goizueta Foundation Ctr W320
1356,BUS,365-1104,Business Communication Strategy,MW,10:00am,11:15am,Molly Epstein,Goizueta Foundation Ctr W320
1357,BUS,365-1105,Business Communication Strategy,MW,11:30am,12:45pm,Molly Epstein,Goizueta Foundation Ctr W320
1358,BUS,365-1106,Business Communication Strategy,TuTh,10:00am,11:15am,Nikki Graves,Goizueta Foundation Ctr W320
1359,BUS,365-1107,Business Communication Strategy,TuTh,11:30am,12:45pm,Nikki Graves,Goizueta Foundation Ctr W320
1360,BUS,365-1108,Business Communication Strategy,TuTh,2:30pm,3:45pm,Nikki Graves,Goizueta Business School 338
1361,BUS,365-1110,Business Communication Strategy,TuTh,1:00pm,2:15pm,Not Listed,Goizueta Business School 338
1362,BUS,365-1111,Business Communication Strategy,TuTh,8:30am,9:45am,Steve Savage,Goizueta Business School 301
1363,BUS,380-1101,Professional Development,F,10:00am,11:15am,Not Listed,Goizueta Business School 208
1364,BUS,380-1102,Professional Development,F,11:30am,12:45pm,Not Listed,Goizueta Business School 208
1365,BUS,380-1103,Professional Development,F,1:00pm,2:15pm,Not Listed,Goizueta Business School 130
1366,BUS,380-1104,Professional Development,F,2:30pm,3:45pm,Not Listed,Goizueta Business School 130
1375,BUS,500-2101,Goizueta IMPACT,M,6:30pm,9:30pm,Not Listed,Goizueta Business School 234
1376,BUS,500-2102,Goizueta IMPACT,Tu,6:30pm,9:30pm,Not Listed,Goizueta Business School 208
1393,BUS,591-2101,Cornerstone,M,5:30pm,6:30pm,Ken Keen,Goizueta Business School 231
1394,BUS,591-3201,Cornerstone,M,4:30pm,6:00pm,Brian Mitchell,Goizueta Business School 130
1399,CHN,101-1,Elementary Chinese I,TuThF,8:30am,9:45am,Not Listed,MODERN LANGUAGE_127
1400,CHN,101-2,Elementary Chinese I,TuThF,10:00am,11:15am,Not Listed,MODERN LANGUAGE_127
1401,CHN,101-3,Elementary Chinese I,TuThF,11:30am,12:45pm,HsuTe Cheng,MODERN LANGUAGE_127
1402,CHN,101-4,Elementary Chinese I,TuThF,1:00pm,2:15pm,HsuTe Cheng,MODERN LANGUAGE_127
1403,CHN,103-1,Elem Chinese For Heritage Speakers,MWF,2:30pm,3:45pm,Not Listed,Callaway Center N118
1404,CHN,201-1,Intermediate Chinese I,TuThF,8:30am,9:45am,Hong Li,Woodruff Library 875
1405,CHN,201-2,Intermediate Chinese I,TuThF,10:00am,11:15am,Hong Li,Woodruff Library 875
1406,CHN,260-1,East Asia 1500 to Present,MW,1:00pm,2:15pm,Hwisang Cho,White Hall 112
1407,CHN,271-1,Modern China in Film  Fiction,MW,11:30am,12:45pm,Guangchen Chen,New Psyc Bldg 220 (36 Eagle Ro
